@relation TEXTvsAUTHOR

@attribute title string
@attribute Class {"daniel buarque", "josias souza", "leonardo sakamoto", "carlos melo"}
@attribute date string
@attribute content string

@data
'E hora rediscutir privilegio prisao especial','josias souza','24/05/2018','sergio moro trancou lula sala reservada policia federal atribuiu privilegio dignidade cargo preso ocupou juiz luiz carlos rezende santo tambem enviou tucano eduardo azeredo sala estado maior penitenciarias mineiras passam problemas toda sorte escreveu juiz azeredo figura inegavel status ex governador merece seguranca individualizada justificou magistrado decisoes desse tipo ajudam brasileiro enxergar velha anomalia nacional cana poderosos brasil criminosos sao tratados conforme status social graduacao profissional politico poderoso qualquer cidadao canudo universitario medico advogado jornalista mata pessoa vai prisao especial jovem periferia flagrado pequena quantidade maconha enfiado cela superlotada virando mao obra faccoes criminosas ex presidente ex governador beneficiam dinheiro roubado povo vao acomodacoes banheiro privativo tv individual roupa cama limpa cafe manha almoco jantar ceia suavidade castigo regulada origem preso gravidade crime E aviltante amparo legal igualam presos elimina privilegio extinguindo cana especial petistas tucanos organizarao passeatas contra abandono superlotacao prisoes contrario logo logo havera filas teto exigindo hospedarias especiais lula azeredo'
'bolsonaro exibe etica flexivel ato prefeitos','josias souza','23/05/2018','jair bolsonaro vai revelando presidenciavel peculiar poucas ideias sao boas algumas sao discursa candidato passa impressao apenas repete plateia deseja ouvir nesta quarta feira falando prefeitos bolsonaro defendeu rigores ministerio publico trato gestores municipais litigio lei disse bolsonaro ter coragem falar sobre ministerio publico faz bom trabalho parte sim problemas prefeito fica medo preocupado respondendo improbidade administrativa mudar assim dizer vai ter fiscalizacao prefeitos governadores presidente medo todos podemos errar erro vem acontecendo vem lapada cima cabeca gente medo chegou mensalao punido cadeia stf medo produziu petrolao bolsonaro quer ministerio publico parceiro bem desenvolvimento brasil reporteres estranharam falta nexo pois bolsonaro apresenta campanha enrolado bandeira combate corrupcao candidato nada ver coisa outra ter bom senso ate simples fiscal pode chegar estabelecimento meter mao caneta orienta primeiro momento nunca reclamou multa transito intencao combate corrupcao continuar bolsonaro sentiu necessidade esmiucar pouco raciocinio exemplo fala propriedade rural la emenda constitucional trabalho escravo ninguem favor trabalho escravo gente ministerio publico judiciario entende trabalho analogo escravidao tambem escravo botar ponto final nisso analogo coisa escravo outra quer dizer pretexto justificar absurdo relaxamento fiscalizacao malfeitos municipais bolsonaro alinhou outras tres temeridades desmereceu trabalho fiscais fazendarios estimulou rebeliao contra inspetores transito revelou condescendente exploracao mao obra campo fez tudo instante negocia alianca pr valdemar costa neto ex presidiario mensalao nesse ritmo ex capitao vai acabar ensinando eleitorado deve confundir certo candidato candidato certo bolsonaro contra combate corrupcao absolutamente apenas ostenta principios eticos flexiveis natural acabar corrupcao sempre prioridade todos chegaram poder'
'alckmin continua sendo chuchu so xepa','josias souza','23/05/2018','espremido tucano geraldo alckmin exibiu retorica feita 50 evasivas 50 mesmices resultado soma duas partes presidenciavel 100 incapaz responder duas principais demandas eleitorado 2018 limpeza esperanca candidato psdb planalto evasivo responder perguntas sobre atacadao corrupcao saiu prometer reformas ambiciosas esmiucar estrategia coloca las pe contrario reconheceu proximo presidente tera lidar congresso fragmentado deixando lado roubalheira comprovada sob investigacao inclui azeredo condenado aecio nove processos serra arcas suicas paulo preto fortuna bahamas proprio alckmin cunhado caixa registradora campanhas sobram reformas candidato diz fara politica tributaria estado previdencia falar facil fazer fhc lula tambem prometeram reformar politica sistema tributario cada passou oito anos planalto politica reformaram si mesmos rendendo toma la ca tributos avancaram sobre bolso contribuinte sempre caixa tesouro ficou vazio previdencia ambos conseguiram arrancar congresso apenas remendos reformas seara etica alckmin esforcou preservar pose limpinho moro apartamento entao sinto indignado porque tendencia agora brasil defenestrar politica dizer todo mundo igual enricar politica ladrao declarou antes soletrar l d r pode otimo desabafo resolve problema incapacidade imprensa eleitorado enxergar moralidade politica questao politicos sao incapazes demonstra la alckmin presidente nacional psdb deslizou tratar malfeitorias partidarias porque nada novo oferecer colocado sobre mesa pedido expulsao azeredo oficio enviando reu aecio conselho etica partidario meio quilo explicacoes convincentes sobre propria situacao adhemar ribeiro cunhado alckmin frequenta dois inqueritos coletor verbas sujas carreadas campanhas tucano instado dizer algo respeito candidato definiu irmao mulher assim casado banqueira dono financeira simpatizante partido nada nenhuma relacao governo alckmin soado convincente dissesse algo assim chamei cunhado conversa perguntei historia voce apanhou nome parte r 10 milhoes odebrecht r 5 milhoes concessionaria ccr disse pegou portanto pedi dinheiro recolheu delatores sao mentirosos serao processados mim tomado respostas ofereceu sabatina alckmin continua sendo chuchu sempre diferenca receituario ficou aguado perdeu frescor etico virou parte xepa'
'governo paga resgate pais continua refem','josias souza','25/05/2018','o baronato transporte carga sequestrou rotina brasileiros levar rosto vitrine terceirizou bloqueio estradas caminhoneiros autonomos quarto dia pais submetido caos planalto cedeu integralmente exigencias troca obteve armisticio mixuruca duas semanas subscrito todos sequestradores paz social quer dizer governo michel temer pagou resgate brasil continua refem ilegalidade locaute pode chamar greve patroes proibido legislacao brasileira palavras negociador eliseu padilha chefao casa civil governo cedeu tudo socilitado inclui tabelamento preco diesel 30 dias subsidio atenuar reajustes ate final ano petrobras fique prejuizo tesouro nacional tambem conhecido contribuinte pagara estatal diferenca preco mercado refresco servido turma roda presa coisa ate final ano temer enviado volta casa onde outro lugar repetindo armou algo parecido versao envergonhada controle precos adotado sob dilma rousseff diferenca impor novos prejuizos petrobras custo subsidio migrou passivo estatal bolso plateia muita gente acredita mesma coisa dinheiro publico gratuito necessario cortar r 5 bilhoes outras areas administracao publica ultima vez governo fazer transferiu verbas seguro desemprego cobrir calote aplicado bndes venezuela mocambique evidencia patronato utilizou caminhoneiros bonecos ventriloquo incluiu acordo compromisso governo permitir congresso reonere folha salarial setor novo folha empresas transportadoras continuara isenta pagamento imposto tudo reducao taxas tributos incidem sobre diesel admita governo outra alternativa senao negociar precisava fazer joelhos poderia ter condicionado concessoes desinterdicao previa rodovias necessario passar mao cabeca patronato trafega acostamento legislacao manha desta sexta feira faltarao mantimentos gondola combustivel bomba remedios prateleira nenhuma mercadoria escassa momento autoridade presidencial michel temer tornou pequena criatura ninguem ignora personagem brigou permanecer volante falta itinerario consolidou ex presidente exercicio presidencia'
'eunicio tirou pes realidade asas fab','josias souza','25/05/2018','ao retornar pressas brasilia nesta quinta feira presidente senado fez reacao criticas deixara fazer precaucao eunicio oliveira voara ceara estado dando ombros crise provocada paralisacao caminhoes decolar tirou pes apenas solo capital perdeu contato realidade dia ate querosene aviacao falta aeroporto brasilia eunicio deu asas insensatez bordo jatinho fab toda comodidade dinheiro publico pode custear milionario senador dono aviao eunicio voltou pressas pois havia risco senado ter realizar nesta sexta feira sessao emergencia planalto acabou celebrando armisticio liberar freio mao caminhoes duas semanas vaivem eunicio resultou apenas caso verba contribuinte jogada janela'
'michel temer vive dias dilma rousseff','josias souza','24/05/2018','a crise caminhoes deixou governo michel temer linha economica ortodoxa cara gestao dilma rousseff adeptada economia criativa agosto 2015 vice presidencia temer revelou candidato trono frase dita jornalistas E preciso alguem capacidade reunificar todos hoje temer alcancou objetivo reunificou pais contra si correto chamar greve paralisacao caminhoneiros existiria voz comando grandes medias empresas transportadoras servindo caminhoneiros autonomos prestam servicos baronato transporte mostrou quatro dias dificil parar pais cuja producao majoritariamente distribuida via rodoviaria voltaram contra temer caminhoneiros irritados aumento combustiveis transportadoras exigiram queda impostos sobre diesel camara aprovou toque caixa solucao cara rasteira custo r 12 bilhoes mercado derrubou cotacao acoes petrobras farejar sinais volta interferencia planalto politica precos estatal fraco impopular temer vive dias dilma sorte eleicao proxima planalto vice dizer preciso alguem capacidade reunificar todos'
'E locaute diz jungmann sobre caminhoneiros','josias souza','24/05/2018','o ministro raul jungmann seguranca publica afirma correto chamar paralisacao transportes cargas greve caminhoneiros claramente locaute disse empregando termo origem vacabulo lingua inglesa significa paralisacao empresas proprios patroes algo probidio legislacao brasileira informacoes recebido movimento caracteriza locaute capitaneado grandes empresas distribuidoras querem manter margens lucro acrescentou jungmann E evidente participacao caminhoneiros autonomos movimento tomado proporcoes tomou participacao apoio comando empresas reforcar declaracoes jungmann contou policia rodoviaria federal vem sendo acionada varios locais realizar escolta caminhoes compete policiais rodoviarios convencer motoristas levarem cargas empresas negam convencer funcionarios prestadores servico levarem cargas premido crise governo mexe duas frentes planalto negocia tregua lideres paralisia noutra advocacia geral uniao recorre judiciario impedir bloqueio estradas ajuizou tres dezenas acoes ora obteve 19 liminares autoriozando uso forca policial desobstruir estradas'
'marina revive 2018 conto patinho feio','josias souza','24/05/2018','a participacao marina silva uol folha sbt reforcou sensacao presidenciavel rede sustentablidade revive 2018 versao eleitoral conto patinho feio mencoes lava jato presidenciavel rede encarna candidatura aparencia cisne chocado ninho outras aves competitiva marina consegue explicar governaria tendo formar maioria congresso dominado bando patos viciados propinas verbas publicas cargos oficiais todas benesses dinheiro publico consegue financiar discurso economico marina contem pesticidas nada diz sugere opcao aventura vai manter tecnologia tripe funciona desde plano real metas inflacao cambio flutuante superavit fiscal nada tentar reinventar roda retorica politica exclui gluten fisiologismo perspectiva marina governo fara concessoes maus costumes composto melhores quadros extraidos banda saudavel pt psdb pmdb academia empresariado beleza combinou centrao jovem virgem pois chegou chave cofre partido marina grao areia oceano congresso argumenta dilma rouseff granjeou maioria amazonica caiu michel temer mago articulacao consegue governar marina alega hipotetica presidencia conseguiria impor plenarios camara senado qualidade propostas problema premissas lancadas candidata sao desmentidas penuria estrutural campanha desconsiderando mixaria recebera fundo eleitoral marina dispoe insignificantes 12 segundos propaganda radio tv tentou costurar alianca outras legendas conseguiu obter 45 segundos psb partido oferecera abrigo marina sucessao passada agora quer distancia dirigentes consideram personalidade complicada marina corre risco repetir 2014 naquela eleicao experimentou ascensao fulminante cisne ultrapassou aecio neves agosto morte eduardo campos chegou liderar pesquisas abrindo dez pontos vantagem sobre dilma rousseff dispunha epoca algo dois minutos horario eleitoral gratuito massacrada marquetagem desconstrutiva pt 12 segundos atuais marina potenciais 20 milhoes votos tornaram alvos faceis superestrutura candidata dispoe combater interesse conviver indecifravel figura eleitor animasse impor marina marra patos talvez impedissem governar indagacao escalaria manchetes automaticamente vai terminar mandato'
'criticado maia desabafa problema impopularidade presidente','josias souza','26/05/2018','a atmosfera eleitoral havia produzido fenda relacoes presidente camara rodrigo maia michel temer desde quarta feira passada maia liderou aprovacao artigo zerou aliquota pis cofins sobre diesel fenda tornou abismo temer auxiliares maia patrocinou gambiarra canhestra pois desconsiderou novidade abre buraco r 12 5 bilhoes contas publicas menos operador presidente disse maia conspira derrubar temer raciocinio ecoado presidente senado eunicio oliveira dialogo privado nessa versao maia tramaria contra temer porque presidente vice afunda comandante camara ascende gravidade conversa maia fez desabafo problema impopularidade presidente problema governo sao 86 brasileiros avaliam michel formal terminal verdade declarou maia referia percentual eleitores disseram datafolha pesquisa divulgada mes passado votariam presidenciavel indicado temer candidato planalto dem maia avalia planalto razoes cobrar lealdade recorda oportunidade prejudicar temer durante tramitacao camara duas denuncias procuradoria contra presidente portou isencao recusa responder provacoes marun ex general tropas eduardo cunha presido camara poder independente limita dizer isencao pis cofins cobrados sobre diesel principais reivindicacoes caminhoneiros atravancam rodoviais todo pais seis dias camara enfiou refresco dentro proposta reoneracao folha salarial empresas alegou dinheiro governo coletara volta tributacao folha praticamente compensaria cifra deixara arrecadada diesel enviado camara dia votacao marun alertou prejuizo r 12 5 bilhoes r 3 bilhoes estimara assessoria camara deputados deram ombros maia reconheceria dia seguinte calculo camara errado deputado adotou numero trombeteado marun admite frustracao arrecadacao menos tres vezes maior valor camara havia estimado coisa r 9 bilhoes assim maia continua defendendo fim cobranca pis cofins sobre diesel melhor alternativa recolocar caminhoes movimento aprovada camara proposta seguiu senado ali eunicio oliveira passou ecoar ponderacoes planalto fala responsabilidade fiscal critica protagonismo maia eunicio alega ter sido surpreendido maia sustenta havia combinado presidente camara reoneracao folha empresas usada governo zerar cide abreviatura outro tributo incide sobre diesel diabo zerando apenas cide desconto preco diesel irrisorios r 0 05 repetindo cinco centavos algo caminhoneiros sublevados acharam risivel dai decisao deputados incluir proposta reoneracao folha salarial isencao pis cofins sobre diesel gerou despesa extra prevista orcamento r 17 bilhoes contabilizou presidente camara ninguem atacou eunicio preferem acusar ter criado r 6 bilhoes despesa adicional conta maia prejuizo isencao pis cofins estimado r 9 bilhoes parcialmente compensado r 3 bilhoes devem coletados volta tributacao sobre falha salarial empresas resto maia diz expurgo tributos incidem sobre diesel atenderia principal demanda caminhoneiros governo ofereceu acordo negociou caminhoneiros proposta alternativa preve congelamento preco diesel 30 dias oferta subsidio r 5 bilhoes suavizar reajustes combustiveil ate final ano nessa formula tesouro nacional faria ressarcimento petrobras diferenca reajuste real diesel valor camarada cobrado clientela maia enxerga senao desvantagens nessa solucao sustenta alem intromissao governo petrobras garantias subsidio custara r 5 bilhoes pois governo controle sobre cotacao internacional petroleo sobre variacao dolar pode custar r 15 bilhoes vez r 5 bilhoes rodrigo maia prossegue E preciso levar conta pis cofins sao tributos regulatorios preco petroleo sobe governo reduzir impostos dobraram aliquota pis cofins ano passado elevando arrecadacao r 20 bilhoes cima povao prejudicou apenas caminhoneiros utilizam diesel prejudicados todos trabalhadores utilizam veiculos movidos gasolina alcool deputado presidente camara avalia governo tera dificuldades providenciar recursos capazes compensar alivio tributario diesel estima uniao deve arrecadar ate r 14 bilhoes bonus participacao especial chamada compensacao financeira devida concessionarias exploracao petroleo gas natural maia cifra deve devolvida sociedade arremata governo entendeu brasil saiu recessao brasileiros'
'coisa governo fraco diz maia sobre deliberacao usar forcas armadas','josias souza','26/05/2018','o presidente camara rodrigo maia dem rj criticou editado michel temer autorizar envolvimento forcas armadas esforco liberacao estradas bloqueadas caminhoneiros coisa tipica governo fraco disse maia noite desta sexta feira decreto temer militares vao agir rodovias federais estaduais municipais partir desta sexta feira ate dia 4 junho alem liberar vias poderao conduzir escoltar veiculos assegurar transporte produtos estrategicos combustiveis exemplo decisao errada declarou rodrigo maia governo deveria satisfazer termos ministro alexandre moraes supremo tribunal federal pedido advocacia geral uniao moraes autorizou uso forca desbloqueio estradas mencionou apenas tres corporacoes policia rodoviaria federal policias militares forca nacional seguranca governo pediu suficiente avaliou maia forcas armadas devem deixadas final situacoes extremas presidente parece gostar simbolismo'
'caminhoes levam temer fantasia caos','josias souza','25/05/2018','no dia 15 maio michel temer promoveu celebracao planalto marcar aniversario dois anos governo desperdicou discurso hora autoelogiando crise provocada paralisacao caminhoneiros demonstra presidente hospedado mundo fantasias pouco importa fatos desmintam reacao temer paralisacao caminhoes veio tarde deixou sociedade brasileira merce anarquia setor economico enxerga nada alem proprio umbigo temer presidente enfraquecido denuncias corrupcao mantem rotina reunioes assessores suspeitos dedicam exclusivamente reclamar outros falar bem governo apodreceu risco coisa assim dar certo inexistente sob temer planalto exagera capacidade transformar ruim algo pior caminhoneiros desafiaram autoridade governo temer abriu negociacao pedindo tregua ajoelhar entregou alma turma roda presa cedeu desde congelamento diesel ate subsidio r 5 bilhoes atenuar peso reajuste combustiveis ate final ano estradas continuaram bloqueadas so entao acionadas forcas seguranca brasil tornou lugar ideal surgimento pais inteiramente novo caos falta temer ex presidente republica exercicio presidencia'
'stf avaliza uso forca desbloquear vias','josias souza','25/05/2018','o ministro alexandre moraes supremo tribunal federal concedeu liminar autoriza uniao governos estaduais utilizar forca policial liberar rodovias bloqueadas caminhoneiros incluindo acostamentos despacho moraes menciona corporacoes estao autorizadas agir policia rodoviaria federal policias militares forca nacional seguranca deve decisao ministro pedido advocacia geral uniao ex ministro justica temer moraes escolhido relator acao governo sorteio alem avalizar emprego forca policial magistrado determinou suspensao efeitos decisoes judiciais impedem imediata reintegracao posse rodovias federais estaduais ocupadas todo territorio nacional moraes autorizou imposicao multas responsaveis bloqueios estabelecendo responsabilidade solidaria manifestantes condutores veiculos proprietarios pessoas fisicas juridicas entidades desrespeitarem determinacao ficarao sujeitas multas r 100 mil hora caminhoneiros multa r 10 mil dia vai abaixo integra decisao ministro tomada noite desta sexta feira 25 maio 2018 concedo medida cautelar postulada presente adpf ad referendum plenario art 5o SS 1o lei 9 882 1999 base art 5o SS 3o lei 9 882 1999 autorizo tomadas medidas necessarias suficientes criterio autoridades responsaveis poder executivo federal poderes executivos estaduais resguardo ordem entorno principalmente seguranca pedestres motoristas passageiros proprios participantes movimento porventura venham posicionar locais inapropriados rodovias pais bem impedir inclusive acostamentos ocupacao obstrucao imposicao dificuldade passagem veiculos quaisquer trechos rodovias desfazimento tais providencias concretizadas garantindo assim trafegabilidade inclusive auxilio entenderem imprescindivel forcas seguranca publica conforme pleiteado policia rodoviaria federal policias militares forca nacional b defiro aplicacao multas pleiteadas partir concessao presente decisao relacao item iv b peticao inicial estabeleco responsabilidade solidaria manifestantes condutores veiculos proprietarios pessoas fisicas juridicas c suspendo efeitos decisoes judiciais obstarem pleitos possessorios formulados uniao impedem livre circulacao veiculos automotores rodovias federais estaduais ocupadas todo territorio nacional inclusive respectivos acostamentos d suspendo efeitos decisoes judiciais impedem imediata reintegracao posse rodovias federais estaduais ocupadas todo territorio nacional inclusive respectivos acostamentos publique comunique urgEncia dd presidente republica publique'
'governador sp mandou multar caminhoneiros','josias souza','25/05/2018','em video exibido portal governo sao paulo governador marcio franca informou determinou policia rodoviaria passe multar caminhoneiros fecham estradas organizadores bloqueios estao sujeitos multas ate r 17 608 20 motoristas interrompem circulacao veiculos op valor multa r 5 869 40 dois casos par punicoes adicionais remocao veiculo suspensao carteira motorista ano'
'crise caminhoes acentua falencia temer','josias souza','25/05/2018','vao relacionadas abaixo nove evidencias governo michel temer vive ocaso enfiado trincheira fantasias acelera derretimento michel temer recebeu informacao havia gente equipando atravessar caminhoes rodovias cerca mes deu ombros fez tendo lado especialista materia chefe casa civil eliseu padilha encrenca caminhoneiros velha previsivel coisa parecida havia sucedido governos sarney fhc lula dilma eliseu padilha ministro transportes fhc 1999 explodiu greve caminhoneiros geral tudo parecido ocorre agora bloqueio estradas risco desabastecimento suspeita locaute greve patroes fhc ameacou acionar forcas armadas contra caminhoneiros simultaneamente enviou padilha mesa negociacoes temer padilha fizeram dobradinha ultima quarta feira presidente procurou holofotes informar reporteres solicitara tregua tres dias caminhoneiros ministro levou proposta reuniao supostos representes paralisacao Aquela altura faltavam alimentos remedios combustiveis praca abundavam fantasias planalto desde domingo trabalhando neste tema dar tranquilidade so brasileiro quer ver paralisado abastecimento tambem tentando encontrar solucao facilite vida especialmente caminhoneiros disse temer intranquilidade pais submetido iminencia caos diumar bueno presidente confederacao nacional transportadores autonomos cnta participou reuniao padilha ecoou pedido tregua temer saida tachou governo irresponsavel avisado sobre bloqueios mes planalto saira lugar tregua pensar negociador governo 19 anos atras estrategia outra sob fhc chefe padilha falava forcas armadas tregua assim governo tucano ceder quarto dia paralisacao recuando reajuste diesel complicar caminhoneiros agora estao organizados comunicam whatsapp rodrigo maia presidente camara enxergou derretimento autoridade temer oportunidade aproveitada enfiou projeto desoneracao folha salarial empresas isencao pis cofins sobre diesel coisa compensaria outra disse maia caminhoes voltariam circular planalto tratou proposta maia pauta bomba semelhante pavios eduardo cunha costumava acender contra dilma rousseff adesao lideres partidos governistas ideia maia potencializou impressao base congressual temer estilhacada carlos marun enviado temer camara noite quarta tentar desarmar bomba rodrigo maia suprema ironia sob dilma marun general tropa eduardo cunha dedicava acender fosforo hoje promovido coordenador politico temer marun revelou fiasco tarefa desativador artefatos avisou maia isencao pis cofins produziria rombo fiscal r 12 5 bilhoes r 3 bilhoes camaera estimara deputados fizeram ouvidos moucos ativando bomba vamos corrigir senado disse marun acusando maia fazer populismo eunicio oliveira presidente senado tao preocupado crise voou quinta feira ceara faltava querosene aviacao brasilia eunicio milionario dispoe aviao proprio manteve habito decolar brasilia asas forca aerea brasileira todas comodidades dinheiro publico pode proporcionar capital eunicio apoiador temer estado aliado pt senador tenta reeleicao pegando carona prestigio presidiario lula eleitores sertanejos alertado fato custo alheamento poderia alto eunicio retornou pressas brasilia tempo acompanhar desdobramentos decisiva rodada negociacoes realizada planalto eliseu padilha negociador coordenou mesa torno sentaram representantes governo hipoteticos porta vozes caminhoneiros sobre cujas boleias paira sombra baronato empresarial setor transporte carga autorizados temer ministros cederam 12 pontos entregaram congelamento diesel 30 dias ate r 5 bilhoes subsidios atenuar peso reajustes combustivel longo ano redigiu acordo todo mundo assinou subscreveu falava estao sublevados estradas deu dando nesta sexta feita estradas bloqueadas desabastecimento pino temer voltou holofotes avisar governo agora tera coragem exercer defesa povo brasileiro inquilino planalto trabalha verdade propria percebeu presidente assessorado servico informacoes imprestavel lideranca parlamentar cercado auxiliares desligaram realidade condicoes defender si proprio autoridade presidencial derreteu faz tempo'
'barroso critica libertacao corruptos granel','josias souza','27/05/2018','o ministro luis roberto barroso supremo tribunal federal disse corruptos tornaram minoria bem protegida brasil despeito desviarem milhoes manterem contas exterior pessoas sao libertadas granel declarou barroso neste sabado congresso magistrados maceio embora mencionado nomes barroso soou criticasse colega gilmar mendes adepto politica celas vazias gilmar mandou soltar dez presos envolvidos casos corrupcao apenas neste mes maio falando plateia juizes barroso empilhou decisoes supremo favoreceram minorias grupos vulneraveis citou validacao lei maria penha interrupcao gravidez casos fetos anencefalicos direito aborto primeiro trimestre gravidez reconhecimento uniao homoafetiva cotas negros deficientes universidades repente ministro engatou lista minoria corruptos insinuando tambem beneficiaria suprema protecao existe minoria bem protegida brasil atualmente sao corruptos pessoas desviaram milhoes mantem contas exterior sao libertadas granel disse barroso confira video acima partir 2min24s sao liberacoes expoem desprestigiam juizes primeiro grau enfrentam cultura desigualdade sempre protegeu riscos cultura compadrio pessoas ousam corajosamente romper circulo vicioso historia brasileira sao frequentemente desautorizadas humilhadas decisoes judiciais tribunais elevados barroso solidarizou juizes prendem corruptos libertados posteriormente decisoes superiores solidario dispoe fazer trabalho dificil custo pessoal alto historia lado velha ordem sendo transformada conviccao aliados corrupcao brasil fazem discurso libertario verdade leniencia velha ordem cultura desvio dinheiro publico palavras barroso chegam ultimos dias mes desafeto gilmar mendes frequentou noticiario especie soltou dezena presos enviou meio fio exemplo hudson braga secretario obras multicondenado sergio cabral ex governador rio soltou tambem carlos miranda principal operador cabral gilmar mandou casa milton lyra vem lobista ligado caciques mdb senado todos investigados inquerito sobre desvios postalis fundo pensao correios sequencia gilmar estendeu habeas corpus outros quatro presos enrolados caso marcelo sereno ex secretario nacional comunicacao pt adeilson ribeiro telles postalis carlos alberto valadares pereira serpro ricardo siqueira rodrigues operador financeiro outro beneficiario alvara soltura expedido gilmar paulo vieira souza paulo preto trata suspeito intermediar recebimento propinas destinadas politicos psdb sao paulo resto ministro mandou abrir celas empresario sandro alex lahmann delegado marcelo luiz santos martins ambos enrolados inquerito apura irregularidades sistema prisional rio janeiro rivalidade barroso gilmar costuma eletrificar sessoes supremo integram turmas diferentes barroso assento primeira turma rigoroso julgamento pedidos habeas corpus colegiado apelidado camara gas gilmar compoe segunda turma cuja generosidade deferimento pedidos liberdade inspirou denominacao jardim Eden divergencia dois magistrados aflora plenario suprema corte embates travaram plenario dia 26 outubro 2017 barroso gilmar escancararam visoes distintas cultivam sobre prisao integrantes minoria corruptos julgamento acao sobre extincao tribunal contas municipios ceara votar gilmar criticou forma rio janeiro estado origem barroso aplicava dinheiro terceiros depositado justica pagar dividas discutidas processos pendentes julgamento abespinhado mencao rio barroso mencionou mato grosso estado gilmar onde todo mundo preso gilmar indagou rio estao barroso emendou prendemos gente solta seguiu bate boca pode revisto video abaixo certa altura irritado barroso canela gilmar transfira mim parceria vossa excelencia leniencia relacao criminalidade colarinho branco noutro ponto gilmar respondeu quanto compromisso crime colarinho branco compromisso direitos fundamentais presidente stf inicialmente liderou todo mutirao carcerario sao 22 mil presos libertados gente sequer advogado advogado bandidos internacionais barroso vossa excelencia vai mudando jurisprudencia acordo reu estado direito estado compadrio juiz pode ter correligionario discurso deste sabado barroso disse coisas parecidas outras palavras aliados corrupcao brasil fazem discurso libertario verdade leniencia velha ordem cultura desvio dinheiro publico alem barroso participaram encontro juizes maceio outros tres ministros supremo presidente carmen lucia vice presidente dias toffoli marco aurelio mello'
'petroleiros decidem realizar greve 72 horas','josias souza','27/05/2018','michel temer conseguiu desatar totalmente paralisacao caminhoneiros diante novo aperto federacao Unica petroleiros fup entidade sindical representa funcionarios petrobras decidiu deflagrar greve nacional advertencia vai durar 72 horas bracos serao cruzados virada terca quarta feira dia 30 maio atividades so serao retomadas final noite sexta feira 1o junho comunicado divulgado site fup informa parada tres dias previa greve tempo indeterminado coisa aprovada nacionalmente categoria negociacao caminhoneiros governo dispos realizar magica manter politica reajustes petrobras tempo oferecer diesel barato retirou bode cartola congelamento diesel 30 dias subsidio r 5 bilhoes atenuar reajustes produto impor prejuizos petrobras petroleiros exigem temer produza magica espetacular exigira retirada cartolas dentro bodes fup quer reducao preco gas cozinha todos derivados petroleo apenas diesel entidade deseja demissao pedro parente atual presidente petrobras pede imediata interrupcao venda ativos estatal petroleiros informam neste domingo 27 farao especie operacao tartaruga retardando troca turnos quatro refinarias duas fabricas fertilizantes petrobras cogita privatizar sao rlam bahia abreu lima pernambuco repar parana refap rio grande sul araucaria nitrogenados parana fabrica fertilzantres nitrogenados fafen bahia movimento caminhoneiros vitaminado locaute greve patroes lideranca pulverizada caso petroleiros comando nitido hostil temer fup filiada cut braco sindical pt nunca deu pio contra roubalheira pilhada lava jato jamais insurgiu contra apadrinhados partidos politicos plantaram bananeira dentro cofres petrobras governos lula dilma agora fup sapateia sobre impopularidade temer tentar desqualificar gestao tecnica estatal ingerencia partidaria atual politica reajuste derivados petroleo fez precos combustiveis dispararem reflexo direto maior desmonte historia petrobras fup site culpados caos sao pedro parente michel temer intensifica crise convocar forcas armadas ocupar refinarias fup repudia enfaticamente grave ataque estado democratico direito exige retirada imediata tropas militares estao instalacoes petrobras nesta segunda feira 28 fup sindicatos realizarao manifestacoes bater bumbo contra importacao derivados petroleo alegam sob pedro parente aquisicoes feitas estrangeiro passaram responder quarto todos combustiveis vendidos brasil numero importadoras derivados quadruplicou ultimos dois anos desde parente adotou precos internacionais onerando consumidor brasileiro garantir lucro mercado escreveu fup 2017 brasil inundado 200 milhoes barris combustiveis importados enquanto refinarias deliberacao governo temer estao operando menos 70 capacidade'
